x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,target
1,(0.91..+inf),(-inf..-0.06],(0.9..+inf),(-inf..-0.03],(0.87..+inf),(-inf..-0.05],(0.87..+inf),(-inf..-0.05],(0.89..+inf),(-inf..-0.07],(0.85..+inf),(-inf..-0.07],(0.83..+inf),(-inf..-0.09],(0.83..+inf),(-inf..-0.19],(0.81..+inf),(-inf..-0.2],(0.79..+inf),(-inf..-0.25],(0.77..+inf),(-inf..-0.29],(0.8..+inf),(-inf..-0.27],(0.53..0.82],(-inf..-0.22],(0.48..0.78],(-inf..-0.22],(0.43..0.73],(-inf..-0.23],(0.43..0.73],(-inf..-0.23],1
1,(0.91..+inf),(-inf..-0.06],(0.9..+inf),(0.06..0.32],(0.7..0.87],(-inf..-0.05],(0.87..+inf),(-inf..-0.05],(0.89..+inf),(0.06..0.42],(0.85..+inf),(0.06..0.37],(0.83..+inf),(-inf..-0.09],(0.83..+inf),(-inf..-0.19],(0.81..+inf),(-inf..-0.2],(0.49..0.79],(0.15..+inf),(0.77..+inf),(0.16..+inf),(0.8..+inf),(-0.27..-0.02],(0.82..+inf),(0.12..+inf),(0.78..+inf),(-inf..-0.22],(0.73..+inf),(0.17..+inf),(0.73..+inf),(-0.23..-0.01],0
1,(0.91..+inf),(0.04..0.17],(0.9..+inf),(-0.03..0.06],(0.87..+inf),(-inf..-0.05],(0.87..+inf),(0.05..0.47],(0.89..+inf),(0.06..0.42],(0.85..+inf),(0.06..0.37],(0.83..+inf),(0.03..0.32],(0.83..+inf),(-0.0..0.2],(0.81..+inf),(0.12..+inf),(0.79..+inf),(0.15..+inf),(0.77..+inf),(0.16..+inf),(0.8..+inf),(0.16..+inf),(0.82..+inf),(0.12..+inf),(0.78..+inf),(0.13..+inf),(0.73..+inf),(0.17..+inf),(0.73..+inf),(0.17..+inf),1
1,(0.91..+inf),(0.04..0.17],(0.9..+inf),(-0.03..0.06],(0.87..+inf),(-0.05..0.04],(0.87..+inf),(-0.05..0.05],(0.89..+inf),(0.06..0.42],(0.85..+inf),(0.06..0.37],(0.83..+inf),(0.03..0.32],(0.83..+inf),(-0.0..0.2],(0.81..+inf),(-0.01..0.12],(0.79..+inf),(0.01..0.15],(0.77..+inf),(-0.01..0.16],(0.8..+inf),(-0.02..0.16],(0.53..0.82],(0.12..+inf),(0.78..+inf),(0.13..+inf),(0.73..+inf),(-0.02..0.17],(0.43..0.73],(-0.01..0.17],1
0,(-inf..0.5],(-0.06..0.04],(-inf..0.54],(-inf..-0.03],(0.87..+inf),(0.36..+inf),(-inf..0.22],(0.47..+inf),(-inf..0.15],(0.42..+inf),(0.85..+inf),(-inf..-0.07],(0.83..+inf),(0.32..+inf),(-inf..-0.04],(-inf..-0.19],(-inf..-0.01],(0.12..+inf),(0.79..+inf),(-inf..-0.25],(-inf..-0.02],(0.16..+inf),(-inf..0.03],(0.16..+inf),(0.82..+inf),(-inf..-0.22],(-inf..0.12],(0.13..+inf),(-inf..0.07],(-inf..-0.23],(0.73..+inf),(-inf..-0.23],0
1,(0.5..0.8],(-0.06..0.04],(0.54..0.73],(-0.03..0.06],(0.35..0.7],(0.04..0.36],(-inf..0.22],(0.05..0.47],(0.62..0.89],(0.06..0.42],(0.59..0.85],(0.06..0.37],(0.6..0.83],(0.03..0.32],(0.54..0.83],(-0.0..0.2],(-0.01..0.55],(0.12..+inf),(0.49..0.79],(0.15..+inf),(0.5..0.77],(0.16..+inf),(0.03..0.5],(0.16..+inf),(0.17..0.53],(0.12..+inf),(0.12..0.48],(0.13..+inf),(0.07..0.43],(0.17..+inf),(0.73..+inf),(0.17..+inf),1
1,(0.91..+inf),(-0.06..0.04],(0.9..+inf),(-inf..-0.03],(0.87..+inf),(-inf..-0.05],(0.87..+inf),(-inf..-0.05],(0.89..+inf),(-inf..-0.07],(0.85..+inf),(-inf..-0.07],(0.83..+inf),(-inf..-0.09],(0.83..+inf),(-inf..-0.19],(0.81..+inf),(-inf..-0.2],(0.79..+inf),(-inf..-0.25],(0.77..+inf),(-inf..-0.29],(0.8..+inf),(-inf..-0.27],(0.82..+inf),(-inf..-0.22],(0.48..0.78],(-inf..-0.22],(0.73..+inf),(-inf..-0.23],(0.73..+inf),(-inf..-0.23],1
0,(0.91..+inf),(0.17..+inf),(-inf..0.54],(-0.03..0.06],(-inf..0.35],(-0.05..0.04],(-inf..0.22],(-inf..-0.05],(-inf..0.15],(-0.07..0.06],(-inf..0.0],(-0.07..0.06],(-inf..-0.06],(-inf..-0.09],(-inf..-0.04],(-inf..-0.19],(-inf..-0.01],(0.12..+inf),(-inf..-0.08],(0.15..+inf),(-0.02..0.5],(-0.01..0.16],(-inf..0.03],(-0.02..0.16],(0.82..+inf),(-inf..-0.22],(-inf..0.12],(0.13..+inf),(-inf..0.07],(0.17..+inf),(-inf..0.01],(0.17..+inf),0
0,(-inf..0.5],(0.17..+inf),(-inf..0.54],(-0.03..0.06],(-inf..0.35],(-0.05..0.04],(-inf..0.22],(0.47..+inf),(0.89..+inf),(0.42..+inf),(-inf..0.0],(-0.07..0.06],(-0.06..0.6],(-0.09..0.03],(0.83..+inf),(-inf..-0.19],(-inf..-0.01],(0.12..+inf),(0.79..+inf),(0.15..+inf),(-0.02..0.5],(-0.01..0.16],(-inf..0.03],(-inf..-0.27],(0.82..+inf),(-inf..-0.22],(0.78..+inf),(0.13..+inf),(-inf..0.07],(0.17..+inf),(-inf..0.01],(-0.01..0.17],0
1,(0.91..+inf),(-inf..-0.06],(0.9..+inf),(-0.03..0.06],(0.87..+inf),(-inf..-0.05],(0.87..+inf),(-0.05..0.05],(0.89..+inf),(-inf..-0.07],(0.59..0.85],(-0.07..0.06],(0.83..+inf),(-0.09..0.03],(0.54..0.83],(-0.19..-0.0],(0.55..0.81],(-inf..-0.2],(0.79..+inf),(-inf..-0.25],(0.77..+inf),(-inf..-0.29],(0.8..+inf),(-inf..-0.27],(0.53..0.82],(-inf..-0.22],(0.48..0.78],(-inf..-0.22],(0.43..0.73],(-inf..-0.23],(0.43..0.73],(-inf..-0.23],1
1,(0.91..+inf),(0.17..+inf),(0.9..+inf),(-inf..-0.03],(0.87..+inf),(-inf..-0.05],(0.87..+inf),(-inf..-0.05],(0.89..+inf),(-inf..-0.07],(0.85..+inf),(-inf..-0.07],(0.83..+inf),(-inf..-0.09],(0.83..+inf),(-inf..-0.19],(0.81..+inf),(-inf..-0.2],(0.79..+inf),(-inf..-0.25],(0.77..+inf),(-inf..-0.29],(0.8..+inf),(-inf..-0.27],(0.82..+inf),(-inf..-0.22],(0.78..+inf),(-inf..-0.22],(0.73..+inf),(-inf..-0.23],(0.73..+inf),(-inf..-0.23],0
0,(-inf..0.5],(-inf..-0.06],(-inf..0.54],(-0.03..0.06],(-inf..0.35],(0.36..+inf),(0.87..+inf),(-inf..-0.05],(-inf..0.15],(-0.07..0.06],(-inf..0.0],(-0.07..0.06],(-0.06..0.6],(-0.09..0.03],(0.83..+inf),(-inf..-0.19],(-inf..-0.01],(-inf..-0.2],(0.79..+inf),(-inf..-0.25],(-0.02..0.5],(-0.01..0.16],(0.8..+inf),(-inf..-0.27],(-inf..0.17],(0.12..+inf),(-inf..0.12],(-inf..-0.22],(-inf..0.07],(-0.02..0.17],(-inf..0.01],(0.17..+inf),0
1,(0.91..+inf),(0.04..0.17],(0.9..+inf),(0.06..0.32],(0.87..+inf),(-inf..-0.05],(0.87..+inf),(0.47..+inf),(0.89..+inf),(0.42..+inf),(0.85..+inf),(0.37..+inf),(0.83..+inf),(0.32..+inf),(0.83..+inf),(0.2..+inf),(0.81..+inf),(0.12..+inf),(0.79..+inf),(0.15..+inf),(0.77..+inf),(0.16..+inf),(0.8..+inf),(0.16..+inf),(0.82..+inf),(0.12..+inf),(0.48..0.78],(0.13..+inf),(0.43..0.73],(0.17..+inf),(0.43..0.73],(0.17..+inf),1
0,(-inf..0.5],(-inf..-0.06],(0.9..+inf),(0.32..+inf),(0.87..+inf),(-inf..-0.05],(-inf..0.22],(0.47..+inf),(0.89..+inf),(-inf..-0.07],(-inf..0.0],(-inf..-0.07],(-0.06..0.6],(-0.09..0.03],(0.83..+inf),(0.2..+inf),(-inf..-0.01],(-inf..-0.2],(0.79..+inf),(-inf..-0.25],(0.77..+inf),(-inf..-0.29],(0.8..+inf),(0.16..+inf),(0.82..+inf),(-inf..-0.22],(0.78..+inf),(-inf..-0.22],(-inf..0.07],(0.17..+inf),(0.73..+inf),(-inf..-0.23],0
1,(0.91..+inf),(-inf..-0.06],(0.9..+inf),(-inf..-0.03],(0.87..+inf),(-inf..-0.05],(0.87..+inf),(-inf..-0.05],(0.89..+inf),(-inf..-0.07],(0.85..+inf),(-inf..-0.07],(0.83..+inf),(-inf..-0.09],(0.83..+inf),(-inf..-0.19],(0.81..+inf),(-inf..-0.2],(0.79..+inf),(-inf..-0.25],(0.77..+inf),(-inf..-0.29],(0.8..+inf),(-inf..-0.27],(0.82..+inf),(-inf..-0.22],(0.78..+inf),(-inf..-0.22],(0.73..+inf),(-inf..-0.23],(0.73..+inf),(-inf..-0.23],1
1,(0.8..0.91],(-inf..-0.06],(0.9..+inf),(-inf..-0.03],(0.87..+inf),(-inf..-0.05],(0.87..+inf),(-inf..-0.05],(0.62..0.89],(-inf..-0.07],(0.85..+inf),(-inf..-0.07],(0.6..0.83],(-inf..-0.09],(0.54..0.83],(-inf..-0.19],(0.55..0.81],(-inf..-0.2],(0.49..0.79],(-inf..-0.25],(0.5..0.77],(-inf..-0.29],(0.5..0.8],(-inf..-0.27],(0.53..0.82],(-inf..-0.22],(0.48..0.78],(-inf..-0.22],(0.43..0.73],(-inf..-0.23],(0.01..0.43],(-inf..-0.23],1
1,(0.5..0.8],(-inf..-0.06],(0.9..+inf),(0.32..+inf),(0.87..+inf),(-inf..-0.05],(0.65..0.87],(-inf..-0.05],(0.89..+inf),(-inf..-0.07],(0.85..+inf),(-inf..-0.07],(0.83..+inf),(0.32..+inf),(-0.04..0.54],(0.2..+inf),(0.81..+inf),(0.12..+inf),(0.79..+inf),(0.15..+inf),(0.77..+inf),(-inf..-0.29],(0.8..+inf),(0.16..+inf),(0.82..+inf),(-0.22..-0.01],(0.78..+inf),(-inf..-0.22],(0.73..+inf),(0.17..+inf),(0.73..+inf),(0.17..+inf),0
1,(0.91..+inf),(-0.06..0.04],(0.9..+inf),(-0.03..0.06],(0.87..+inf),(-0.05..0.04],(0.87..+inf),(-inf..-0.05],(0.89..+inf),(-0.07..0.06],(0.85..+inf),(-0.07..0.06],(0.83..+inf),(-0.09..0.03],(0.83..+inf),(-0.19..-0.0],(0.81..+inf),(-0.2..-0.01],(0.79..+inf),(-0.25..0.01],(0.77..+inf),(-0.29..-0.01],(0.8..+inf),(-0.27..-0.02],(0.82..+inf),(-0.22..-0.01],(0.78..+inf),(-0.22..-0.01],(0.73..+inf),(-0.23..-0.02],(0.73..+inf),(-0.23..-0.01],1
0,(0.91..+inf),(0.17..+inf),(0.9..+inf),(-inf..-0.03],(-inf..0.35],(-0.05..0.04],(-inf..0.22],(-0.05..0.05],(-inf..0.15],(-inf..-0.07],(-inf..0.0],(-0.07..0.06],(-0.06..0.6],(-0.09..0.03],(-inf..-0.04],(0.2..+inf),(0.81..+inf),(0.12..+inf),(-inf..-0.08],(0.15..+inf),(-inf..-0.02],(0.16..+inf),(0.8..+inf),(-inf..-0.27],(0.82..+inf),(0.12..+inf),(-inf..0.12],(0.13..+inf),(0.73..+inf),(0.17..+inf),(-inf..0.01],(-0.01..0.17],0
1,(0.91..+inf),(-0.06..0.04],(0.9..+inf),(-0.03..0.06],(0.87..+inf),(0.04..0.36],(0.22..0.65],(-inf..-0.05],(0.89..+inf),(0.06..0.42],(0.85..+inf),(0.37..+inf),(0.6..0.83],(0.03..0.32],(0.54..0.83],(-0.0..0.2],(0.81..+inf),(0.12..+inf),(0.49..0.79],(0.15..+inf),(0.5..0.77],(0.16..+inf),(0.5..0.8],(0.16..+inf),(0.17..0.53],(0.12..+inf),(0.12..0.48],(0.13..+inf),(0.07..0.43],(-0.02..0.17],(0.73..+inf),(0.17..+inf),0
1,(0.91..+inf),(0.04..0.17],(0.9..+inf),(0.06..0.32],(0.87..+inf),(0.04..0.36],(0.87..+inf),(0.05..0.47],(0.62..0.89],(0.06..0.42],(0.59..0.85],(0.37..+inf),(0.6..0.83],(0.32..+inf),(0.54..0.83],(0.2..+inf),(0.55..0.81],(0.12..+inf),(-0.08..0.49],(0.15..+inf),(-0.02..0.5],(0.16..+inf),(0.03..0.5],(0.16..+inf),(0.17..0.53],(0.12..+inf),(0.12..0.48],(0.13..+inf),(0.07..0.43],(0.17..+inf),(0.01..0.43],(0.17..+inf),1
1,(-inf..0.5],(-inf..-0.06],(0.9..+inf),(0.32..+inf),(0.87..+inf),(-inf..-0.05],(-inf..0.22],(-0.05..0.05],(-inf..0.15],(0.42..+inf),(0.85..+inf),(0.37..+inf),(-0.06..0.6],(-inf..-0.09],(-inf..-0.04],(-inf..-0.19],(-0.01..0.55],(-inf..-0.2],(0.79..+inf),(-inf..-0.25],(-inf..-0.02],(0.16..+inf),(-inf..0.03],(-inf..-0.27],(0.82..+inf),(-inf..-0.22],(-inf..0.12],(-inf..-0.22],(0.73..+inf),(0.17..+inf),(-inf..0.01],(-0.01..0.17],0
1,(0.8..0.91],(0.04..0.17],(0.73..0.9],(0.06..0.32],(0.87..+inf),(0.04..0.36],(0.22..0.65],(0.47..+inf),(0.62..0.89],(0.06..0.42],(0.0..0.59],(0.37..+inf),(-0.06..0.6],(0.32..+inf),(-0.04..0.54],(0.2..+inf),(-0.01..0.55],(0.12..+inf),(-0.08..0.49],(0.15..+inf),(-0.02..0.5],(0.16..+inf),(0.03..0.5],(0.16..+inf),(0.17..0.53],(0.12..+inf),(0.12..0.48],(0.13..+inf),(-inf..0.07],(0.17..+inf),(0.01..0.43],(0.17..+inf),1
1,(0.91..+inf),(-0.06..0.04],(0.9..+inf),(-inf..-0.03],(0.87..+inf),(-inf..-0.05],(0.87..+inf),(-inf..-0.05],(0.89..+inf),(-inf..-0.07],(0.85..+inf),(-inf..-0.07],(0.83..+inf),(-inf..-0.09],(0.83..+inf),(-inf..-0.19],(0.81..+inf),(-inf..-0.2],(0.79..+inf),(-inf..-0.25],(0.5..0.77],(-inf..-0.29],(0.5..0.8],(-inf..-0.27],(0.53..0.82],(-inf..-0.22],(0.48..0.78],(-inf..-0.22],(0.43..0.73],(-inf..-0.23],(0.43..0.73],(-inf..-0.23],1
0,(-inf..0.5],(-0.06..0.04],(-inf..0.54],(-0.03..0.06],(-inf..0.35],(-0.05..0.04],(0.87..+inf),(0.47..+inf),(0.89..+inf),(0.42..+inf),(-inf..0.0],(-0.07..0.06],(-0.06..0.6],(-0.09..0.03],(-inf..-0.04],(-inf..-0.19],(-inf..-0.01],(-inf..-0.2],(-0.08..0.49],(-0.25..0.01],(-0.02..0.5],(-0.01..0.16],(-inf..0.03],(-inf..-0.27],(-inf..0.17],(-inf..-0.22],(-inf..0.12],(0.13..+inf),(0.73..+inf),(-0.02..0.17],(-inf..0.01],(-0.01..0.17],0
1,(0.91..+inf),(-0.06..0.04],(0.9..+inf),(-inf..-0.03],(0.87..+inf),(-inf..-0.05],(0.87..+inf),(-inf..-0.05],(0.89..+inf),(-inf..-0.07],(0.85..+inf),(-inf..-0.07],(0.83..+inf),(-inf..-0.09],(0.83..+inf),(-inf..-0.19],(0.81..+inf),(-inf..-0.2],(0.79..+inf),(-inf..-0.25],(0.77..+inf),(-inf..-0.29],(0.8..+inf),(-inf..-0.27],(0.82..+inf),(-inf..-0.22],(0.78..+inf),(-inf..-0.22],(0.73..+inf),(-inf..-0.23],(0.73..+inf),(-inf..-0.23],1
1,(0.91..+inf),(-0.06..0.04],(0.9..+inf),(-inf..-0.03],(0.87..+inf),(-inf..-0.05],(0.87..+inf),(-inf..-0.05],(0.89..+inf),(-0.07..0.06],(0.85..+inf),(-inf..-0.07],(0.83..+inf),(-inf..-0.09],(0.83..+inf),(-0.19..-0.0],(0.55..0.81],(-0.2..-0.01],(0.79..+inf),(-0.25..0.01],(0.77..+inf),(-0.29..-0.01],(0.8..+inf),(-0.27..-0.02],(0.53..0.82],(-0.22..-0.01],(0.78..+inf),(-inf..-0.22],(0.73..+inf),(-inf..-0.23],(0.73..+inf),(-inf..-0.23],1
1,(-inf..0.5],(-inf..-0.06],(-inf..0.54],(0.32..+inf),(0.87..+inf),(0.36..+inf),(-inf..0.22],(-inf..-0.05],(-inf..0.15],(-inf..-0.07],(0.85..+inf),(0.37..+inf),(0.83..+inf),(-inf..-0.09],(-inf..-0.04],(0.2..+inf),(0.81..+inf),(0.12..+inf),(0.79..+inf),(-inf..-0.25],(-inf..-0.02],(-inf..-0.29],(-inf..0.03],(0.16..+inf),(0.82..+inf),(-inf..-0.22],(-inf..0.12],(-inf..-0.22],(-inf..0.07],(0.17..+inf),(0.73..+inf),(0.17..+inf),0
1,(0.91..+inf),(0.04..0.17],(0.9..+inf),(-inf..-0.03],(0.87..+inf),(-inf..-0.05],(0.87..+inf),(-inf..-0.05],(0.89..+inf),(-0.07..0.06],(0.85..+inf),(-inf..-0.07],(0.83..+inf),(-inf..-0.09],(0.83..+inf),(-inf..-0.19],(0.81..+inf),(-inf..-0.2],(0.79..+inf),(-inf..-0.25],(0.77..+inf),(-inf..-0.29],(0.8..+inf),(-inf..-0.27],(0.82..+inf),(-inf..-0.22],(0.78..+inf),(-inf..-0.22],(0.73..+inf),(-inf..-0.23],(0.73..+inf),(-inf..-0.23],1
1,(-inf..0.5],(-inf..-0.06],(-inf..0.54],(0.32..+inf),(-inf..0.35],(0.36..+inf),(0.65..0.87],(0.47..+inf),(-inf..0.15],(-inf..-0.07],(-inf..0.0],(-inf..-0.07],(-inf..-0.06],(0.32..+inf),(-0.04..0.54],(0.2..+inf),(-inf..-0.01],(-inf..-0.2],(-inf..-0.08],(-inf..-0.25],(-inf..-0.02],(-inf..-0.29],(-inf..0.03],(0.16..+inf),(0.82..+inf),(-inf..-0.22],(-inf..0.12],(-inf..-0.22],(-inf..0.07],(-inf..-0.23],(-inf..0.01],(0.17..+inf),0
0,(-inf..0.5],(0.17..+inf),(0.9..+inf),(-inf..-0.03],(-inf..0.35],(0.36..+inf),(-inf..0.22],(-0.05..0.05],(0.89..+inf),(0.42..+inf),(-inf..0.0],(-inf..-0.07],(0.83..+inf),(0.32..+inf),(-inf..-0.04],(-inf..-0.19],(0.81..+inf),(-inf..-0.2],(-inf..-0.08],(-inf..-0.25],(0.77..+inf),(0.16..+inf),(0.8..+inf),(-inf..-0.27],(0.82..+inf),(0.12..+inf),(0.78..+inf),(0.13..+inf),(-inf..0.07],(-0.02..0.17],(-inf..0.01],(-inf..-0.23],0
1,(-inf..0.5],(-inf..-0.06],(-inf..0.54],(0.32..+inf),(-inf..0.35],(-0.05..0.04],(-inf..0.22],(-0.05..0.05],(-inf..0.15],(0.42..+inf),(-inf..0.0],(-0.07..0.06],(-inf..-0.06],(-inf..-0.09],(0.54..0.83],(0.2..+inf),(-0.01..0.55],(0.12..+inf),(-0.08..0.49],(-0.25..0.01],(-inf..-0.02],(-0.29..-0.01],(-inf..0.03],(0.16..+inf),(0.82..+inf),(0.12..+inf),(-inf..0.12],(0.13..+inf),(-inf..0.07],(-0.02..0.17],(-inf..0.01],(-0.01..0.17],0
1,(0.91..+inf),(0.04..0.17],(0.9..+inf),(0.06..0.32],(0.87..+inf),(0.04..0.36],(0.87..+inf),(0.05..0.47],(0.89..+inf),(0.06..0.42],(0.85..+inf),(0.06..0.37],(0.83..+inf),(0.03..0.32],(0.83..+inf),(0.2..+inf),(0.81..+inf),(0.12..+inf),(0.79..+inf),(0.15..+inf),(0.5..0.77],(0.16..+inf),(0.5..0.8],(0.16..+inf),(0.53..0.82],(0.12..+inf),(0.48..0.78],(0.13..+inf),(0.43..0.73],(0.17..+inf),(0.43..0.73],(0.17..+inf),1
