A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,target
0,(24.35..32.71],(-inf..1.92],2,(10.75..+inf),(2.75..4.5],(-inf..1.36],1,0,(-inf..5.5],0,2,(395.5..+inf),(2003.5..+inf),1
1,(24.35..32.71],(10.71..+inf),1,(-inf..4.25],(-inf..2.75],(-inf..1.36],0,1,(-inf..5.5],0,2,(134.0..240.0],(-inf..134.0],0
0,(-inf..24.35],(5.42..10.71],2,(10.75..+inf),(2.75..4.5],(1.36..3.06],1,1,(-inf..5.5],0,2,(134.0..240.0],(2003.5..+inf),1
0,(43.23..+inf),(-inf..1.92],2,(4.25..7.5],(2.75..4.5],(-inf..1.36],1,0,(-inf..5.5],1,2,(-inf..134.0],(-inf..134.0],0
1,(43.23..+inf),(5.42..10.71],2,(7.5..10.75],(7.25..+inf),(6.56..+inf),1,1,(11.0..16.5],0,2,(-inf..134.0],(564.5..2003.5],1
1,(24.35..32.71],(-inf..1.92],1,(7.5..10.75],(7.25..+inf),(3.06..6.56],1,1,(-inf..5.5],1,2,(395.5..+inf),(2003.5..+inf),1
1,(32.71..43.23],(1.92..5.42],2,(-inf..4.25],(4.5..7.25],(-inf..1.36],1,0,(-inf..5.5],0,2,(-inf..134.0],(134.0..564.5],0
1,(32.71..43.23],(1.92..5.42],2,(10.75..+inf),(7.25..+inf),(3.06..6.56],1,0,(-inf..5.5],1,2,(395.5..+inf),(-inf..134.0],0
0,(-inf..24.35],(5.42..10.71],2,(-inf..4.25],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],0
0,(-inf..24.35],(-inf..1.92],2,(-inf..4.25],(2.75..4.5],(-inf..1.36],0,1,(5.5..11.0],1,2,(134.0..240.0],(-inf..134.0],0
1,(32.71..43.23],(5.42..10.71],2,(10.75..+inf),(2.75..4.5],(1.36..3.06],1,1,(5.5..11.0],0,2,(395.5..+inf),(134.0..564.5],1
0,(-inf..24.35],(-inf..1.92],2,(10.75..+inf),(2.75..4.5],(1.36..3.06],1,1,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],1
1,(24.35..32.71],(1.92..5.42],2,(7.5..10.75],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],1,2,(240.0..395.5],(-inf..134.0],0
1,(24.35..32.71],(1.92..5.42],2,(7.5..10.75],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],1,2,(240.0..395.5],(-inf..134.0],0
1,(24.35..32.71],(-inf..1.92],2,(7.5..10.75],(7.25..+inf),(-inf..1.36],1,1,(-inf..5.5],0,2,(134.0..240.0],(-inf..134.0],1
1,(24.35..32.71],(-inf..1.92],2,(4.25..7.5],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,2,(134.0..240.0],(-inf..134.0],0
1,(-inf..24.35],(10.71..+inf),2,(7.5..10.75],(2.75..4.5],(1.36..3.06],1,1,(-inf..5.5],0,2,(-inf..134.0],(134.0..564.5],1
1,(32.71..43.23],(-inf..1.92],2,(-inf..4.25],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],1,2,(240.0..395.5],(-inf..134.0],0
1,(32.71..43.23],(-inf..1.92],2,(-inf..4.25],(2.75..4.5],(-inf..1.36],1,0,(-inf..5.5],0,2,(134.0..240.0],(-inf..134.0],0
1,(24.35..32.71],(1.92..5.42],2,(-inf..4.25],(4.5..7.25],(-inf..1.36],0,0,(-inf..5.5],1,2,(395.5..+inf),(2003.5..+inf),0
1,(32.71..43.23],(-inf..1.92],2,(10.75..+inf),(2.75..4.5],(1.36..3.06],1,1,(-inf..5.5],1,2,(395.5..+inf),(2003.5..+inf),1
1,(24.35..32.71],(1.92..5.42],2,(7.5..10.75],(2.75..4.5],(6.56..+inf),1,0,(-inf..5.5],1,2,(-inf..134.0],(-inf..134.0],1
1,(32.71..43.23],(1.92..5.42],2,(-inf..4.25],(-inf..2.75],(-inf..1.36],0,0,(-inf..5.5],0,2,(-inf..134.0],(564.5..2003.5],0
1,(24.35..32.71],(5.42..10.71],2,(7.5..10.75],(4.5..7.25],(1.36..3.06],1,0,(-inf..5.5],1,1,(395.5..+inf),(-inf..134.0],0
1,(24.35..32.71],(-inf..1.92],2,(-inf..4.25],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,2,(240.0..395.5],(2003.5..+inf),0
1,(24.35..32.71],(-inf..1.92],2,(7.5..10.75],(2.75..4.5],(1.36..3.06],1,1,(5.5..11.0],0,2,(-inf..134.0],(134.0..564.5],1
0,(24.35..32.71],(-inf..1.92],2,(7.5..10.75],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],1,2,(240.0..395.5],(-inf..134.0],0
0,(24.35..32.71],(-inf..1.92],2,(7.5..10.75],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],1,2,(240.0..395.5],(-inf..134.0],0
1,(24.35..32.71],(1.92..5.42],1,(-inf..4.25],(-inf..2.75],(-inf..1.36],0,0,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],0
1,(24.35..32.71],(-inf..1.92],2,(7.5..10.75],(2.75..4.5],(1.36..3.06],1,1,(5.5..11.0],1,2,(395.5..+inf),(-inf..134.0],1
1,(24.35..32.71],(1.92..5.42],2,(-inf..4.25],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],1,2,(-inf..134.0],(-inf..134.0],0
1,(24.35..32.71],(1.92..5.42],2,(-inf..4.25],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],1,2,(-inf..134.0],(-inf..134.0],0
1,(-inf..24.35],(1.92..5.42],1,(7.5..10.75],(2.75..4.5],(1.36..3.06],1,1,(-inf..5.5],1,2,(-inf..134.0],(564.5..2003.5],1
1,(24.35..32.71],(-inf..1.92],1,(-inf..4.25],(4.5..7.25],(-inf..1.36],1,1,(5.5..11.0],1,2,(-inf..134.0],(-inf..134.0],0
1,(-inf..24.35],(-inf..1.92],1,(7.5..10.75],(7.25..+inf),(-inf..1.36],0,0,(-inf..5.5],0,2,(240.0..395.5],(134.0..564.5],0
1,(43.23..+inf),(5.42..10.71],2,(-inf..4.25],(-inf..2.75],(6.56..+inf),1,1,(5.5..11.0],1,2,(-inf..134.0],(134.0..564.5],1
0,(32.71..43.23],(-inf..1.92],2,(4.25..7.5],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,2,(-inf..134.0],(134.0..564.5],0
1,(32.71..43.23],(-inf..1.92],2,(-inf..4.25],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,2,(134.0..240.0],(-inf..134.0],0
0,(-inf..24.35],(-inf..1.92],2,(7.5..10.75],(2.75..4.5],(1.36..3.06],0,1,(-inf..5.5],1,2,(-inf..134.0],(-inf..134.0],0
0,(24.35..32.71],(5.42..10.71],2,(10.75..+inf),(7.25..+inf),(-inf..1.36],0,1,(11.0..16.5],1,2,(-inf..134.0],(-inf..134.0],0
0,(-inf..24.35],(-inf..1.92],2,(7.5..10.75],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],0
0,(-inf..24.35],(-inf..1.92],2,(7.5..10.75],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],0
1,(43.23..+inf),(-inf..1.92],2,(7.5..10.75],(2.75..4.5],(1.36..3.06],1,0,(-inf..5.5],1,2,(134.0..240.0],(-inf..134.0],0
1,(24.35..32.71],(-inf..1.92],2,(10.75..+inf),(2.75..4.5],(1.36..3.06],1,1,(-inf..5.5],1,2,(240.0..395.5],(-inf..134.0],1
1,(32.71..43.23],(1.92..5.42],2,(7.5..10.75],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],1,2,(240.0..395.5],(-inf..134.0],1
1,(32.71..43.23],(1.92..5.42],2,(7.5..10.75],(2.75..4.5],(3.06..6.56],1,1,(11.0..16.5],0,2,(240.0..395.5],(564.5..2003.5],1
1,(32.71..43.23],(10.71..+inf),2,(10.75..+inf),(4.5..7.25],(3.06..6.56],1,1,(5.5..11.0],1,2,(-inf..134.0],(134.0..564.5],1
1,(24.35..32.71],(5.42..10.71],2,(10.75..+inf),(2.75..4.5],(3.06..6.56],1,0,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],1
1,(32.71..43.23],(-inf..1.92],1,(7.5..10.75],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],1,2,(240.0..395.5],(-inf..134.0],0
1,(-inf..24.35],(5.42..10.71],2,(7.5..10.75],(2.75..4.5],(-inf..1.36],1,0,(-inf..5.5],0,2,(134.0..240.0],(-inf..134.0],0
0,(24.35..32.71],(10.71..+inf),1,(-inf..4.25],(-inf..2.75],(1.36..3.06],0,1,(-inf..5.5],1,2,(134.0..240.0],(-inf..134.0],0
0,(43.23..+inf),(1.92..5.42],2,(10.75..+inf),(7.25..+inf),(1.36..3.06],1,1,(5.5..11.0],0,2,(-inf..134.0],(134.0..564.5],1
0,(-inf..24.35],(5.42..10.71],2,(10.75..+inf),(2.75..4.5],(3.06..6.56],1,1,(5.5..11.0],0,2,(-inf..134.0],(134.0..564.5],1
0,(24.35..32.71],(-inf..1.92],1,(-inf..4.25],(-inf..2.75],(-inf..1.36],1,1,(-inf..5.5],0,2,(134.0..240.0],(134.0..564.5],0
0,(24.35..32.71],(-inf..1.92],2,(7.5..10.75],(2.75..4.5],(1.36..3.06],1,1,(-inf..5.5],1,2,(240.0..395.5],(564.5..2003.5],1
1,(32.71..43.23],(-inf..1.92],2,(4.25..7.5],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,1,(-inf..134.0],(-inf..134.0],0
1,(32.71..43.23],(-inf..1.92],2,(-inf..4.25],(4.5..7.25],(3.06..6.56],0,0,(-inf..5.5],0,2,(134.0..240.0],(-inf..134.0],1
1,(-inf..24.35],(-inf..1.92],2,(4.25..7.5],(2.75..4.5],(-inf..1.36],0,1,(-inf..5.5],0,2,(240.0..395.5],(564.5..2003.5],0
1,(-inf..24.35],(-inf..1.92],1,(7.5..10.75],(2.75..4.5],(3.06..6.56],1,1,(5.5..11.0],0,2,(-inf..134.0],(-inf..134.0],1
1,(24.35..32.71],(1.92..5.42],2,(7.5..10.75],(7.25..+inf),(1.36..3.06],0,1,(-inf..5.5],1,2,(395.5..+inf),(-inf..134.0],0
0,(24.35..32.71],(-inf..1.92],2,(4.25..7.5],(7.25..+inf),(-inf..1.36],0,1,(-inf..5.5],1,2,(240.0..395.5],(-inf..134.0],0
0,(43.23..+inf),(-inf..1.92],2,(7.5..10.75],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,3,(134.0..240.0],(-inf..134.0],1
1,(24.35..32.71],(-inf..1.92],2,(7.5..10.75],(2.75..4.5],(1.36..3.06],1,1,(-inf..5.5],1,2,(240.0..395.5],(-inf..134.0],1
1,(32.71..43.23],(5.42..10.71],2,(7.5..10.75],(2.75..4.5],(3.06..6.56],1,1,(11.0..16.5],1,2,(-inf..134.0],(134.0..564.5],1
0,(43.23..+inf),(-inf..1.92],2,(10.75..+inf),(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],1,2,(240.0..395.5],(-inf..134.0],0
0,(24.35..32.71],(-inf..1.92],2,(7.5..10.75],(2.75..4.5],(-inf..1.36],1,1,(11.0..16.5],0,2,(-inf..134.0],(2003.5..+inf),1
0,(32.71..43.23],(1.92..5.42],2,(7.5..10.75],(2.75..4.5],(3.06..6.56],1,0,(-inf..5.5],1,2,(-inf..134.0],(2003.5..+inf),1
1,(-inf..24.35],(10.71..+inf),2,(7.5..10.75],(2.75..4.5],(-inf..1.36],0,1,(-inf..5.5],0,2,(-inf..134.0],(2003.5..+inf),0
1,(24.35..32.71],(-inf..1.92],1,(-inf..4.25],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,2,(134.0..240.0],(2003.5..+inf),0
1,(43.23..+inf),(10.71..+inf),2,(-inf..4.25],(-inf..2.75],(3.06..6.56],1,1,(-inf..5.5],0,2,(-inf..134.0],(2003.5..+inf),1
1,(-inf..24.35],(1.92..5.42],1,(4.25..7.5],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,2,(134.0..240.0],(134.0..564.5],0
1,(32.71..43.23],(-inf..1.92],2,(-inf..4.25],(-inf..2.75],(-inf..1.36],1,0,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],0
1,(-inf..24.35],(10.71..+inf),2,(10.75..+inf),(2.75..4.5],(-inf..1.36],1,1,(5.5..11.0],0,2,(-inf..134.0],(-inf..134.0],1
1,(-inf..24.35],(10.71..+inf),2,(7.5..10.75],(4.5..7.25],(-inf..1.36],0,1,(-inf..5.5],1,2,(134.0..240.0],(-inf..134.0],0
1,(32.71..43.23],(1.92..5.42],2,(-inf..4.25],(2.75..4.5],(3.06..6.56],1,1,(5.5..11.0],0,2,(134.0..240.0],(564.5..2003.5],1
1,(-inf..24.35],(-inf..1.92],2,(10.75..+inf),(2.75..4.5],(3.06..6.56],1,1,(-inf..5.5],1,2,(395.5..+inf),(564.5..2003.5],1
1,(32.71..43.23],(1.92..5.42],1,(7.5..10.75],(7.25..+inf),(1.36..3.06],1,1,(-inf..5.5],1,2,(134.0..240.0],(2003.5..+inf),1
1,(-inf..24.35],(-inf..1.92],2,(7.5..10.75],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],1
1,(-inf..24.35],(-inf..1.92],2,(7.5..10.75],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],1
1,(43.23..+inf),(5.42..10.71],2,(7.5..10.75],(7.25..+inf),(6.56..+inf),1,1,(5.5..11.0],0,2,(134.0..240.0],(564.5..2003.5],1
0,(-inf..24.35],(5.42..10.71],1,(10.75..+inf),(7.25..+inf),(-inf..1.36],0,0,(-inf..5.5],0,2,(240.0..395.5],(-inf..134.0],0
0,(-inf..24.35],(5.42..10.71],2,(10.75..+inf),(7.25..+inf),(-inf..1.36],1,1,(-inf..5.5],1,2,(-inf..134.0],(-inf..134.0],1
0,(-inf..24.35],(-inf..1.92],2,(7.5..10.75],(2.75..4.5],(-inf..1.36],1,1,(-inf..5.5],1,2,(134.0..240.0],(-inf..134.0],0
1,(-inf..24.35],(-inf..1.92],2,(7.5..10.75],(7.25..+inf),(1.36..3.06],0,0,(-inf..5.5],1,2,(-inf..134.0],(-inf..134.0],1
0,(24.35..32.71],(1.92..5.42],1,(7.5..10.75],(7.25..+inf),(1.36..3.06],0,0,(-inf..5.5],0,2,(240.0..395.5],(-inf..134.0],0
1,(24.35..32.71],(10.71..+inf),2,(4.25..7.5],(2.75..4.5],(3.06..6.56],1,1,(-inf..5.5],1,2,(134.0..240.0],(-inf..134.0],1
0,(24.35..32.71],(1.92..5.42],2,(-inf..4.25],(2.75..4.5],(1.36..3.06],1,0,(-inf..5.5],1,2,(240.0..395.5],(-inf..134.0],0
1,(24.35..32.71],(10.71..+inf),2,(7.5..10.75],(2.75..4.5],(1.36..3.06],1,1,(16.5..+inf),0,2,(134.0..240.0],(564.5..2003.5],1
0,(-inf..24.35],(-inf..1.92],3,(10.75..+inf),(-inf..2.75],(6.56..+inf),0,0,(-inf..5.5],1,1,(240.0..395.5],(-inf..134.0],1
0,(-inf..24.35],(10.71..+inf),2,(-inf..4.25],(7.25..+inf),(-inf..1.36],0,0,(-inf..5.5],0,2,(240.0..395.5],(-inf..134.0],0
0,(24.35..32.71],(-inf..1.92],2,(10.75..+inf),(2.75..4.5],(-inf..1.36],1,1,(-inf..5.5],0,2,(134.0..240.0],(-inf..134.0],0
1,(32.71..43.23],(-inf..1.92],2,(7.5..10.75],(7.25..+inf),(-inf..1.36],1,1,(5.5..11.0],0,2,(134.0..240.0],(564.5..2003.5],1
1,(-inf..24.35],(1.92..5.42],1,(-inf..4.25],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],1,2,(240.0..395.5],(564.5..2003.5],0
1,(24.35..32.71],(10.71..+inf),2,(10.75..+inf),(7.25..+inf),(1.36..3.06],1,0,(-inf..5.5],1,2,(-inf..134.0],(-inf..134.0],1
0,(24.35..32.71],(-inf..1.92],1,(10.75..+inf),(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,2,(240.0..395.5],(-inf..134.0],0
1,(24.35..32.71],(10.71..+inf),2,(7.5..10.75],(2.75..4.5],(-inf..1.36],1,0,(-inf..5.5],1,2,(240.0..395.5],(-inf..134.0],0
1,(24.35..32.71],(10.71..+inf),1,(4.25..7.5],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],1,2,(-inf..134.0],(134.0..564.5],0
1,(32.71..43.23],(-inf..1.92],2,(7.5..10.75],(4.5..7.25],(-inf..1.36],1,0,(-inf..5.5],1,2,(134.0..240.0],(-inf..134.0],0
1,(-inf..24.35],(-inf..1.92],2,(4.25..7.5],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,1,(-inf..134.0],(-inf..134.0],0
1,(43.23..+inf),(10.71..+inf),1,(7.5..10.75],(2.75..4.5],(6.56..+inf),1,1,(16.5..+inf),0,2,(-inf..134.0],(-inf..134.0],1
1,(24.35..32.71],(-inf..1.92],2,(10.75..+inf),(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],0
0,(24.35..32.71],(10.71..+inf),2,(10.75..+inf),(7.25..+inf),(3.06..6.56],1,1,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],1
1,(-inf..24.35],(-inf..1.92],2,(7.5..10.75],(2.75..4.5],(-inf..1.36],1,0,(-inf..5.5],0,1,(240.0..395.5],(-inf..134.0],1
1,(-inf..24.35],(5.42..10.71],2,(-inf..4.25],(2.75..4.5],(-inf..1.36],1,0,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],1
1,(32.71..43.23],(-inf..1.92],2,(10.75..+inf),(2.75..4.5],(1.36..3.06],1,0,(-inf..5.5],0,2,(395.5..+inf),(564.5..2003.5],1
0,(24.35..32.71],(10.71..+inf),2,(10.75..+inf),(7.25..+inf),(1.36..3.06],0,0,(-inf..5.5],0,2,(240.0..395.5],(-inf..134.0],0
1,(-inf..24.35],(1.92..5.42],2,(10.75..+inf),(2.75..4.5],(-inf..1.36],1,1,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],0
0,(-inf..24.35],(-inf..1.92],2,(7.5..10.75],(7.25..+inf),(1.36..3.06],1,1,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],1
1,(24.35..32.71],(1.92..5.42],2,(7.5..10.75],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,2,(134.0..240.0],(-inf..134.0],0
1,(43.23..+inf),(10.71..+inf),2,(7.5..10.75],(2.75..4.5],(1.36..3.06],1,1,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],1
1,(32.71..43.23],(-inf..1.92],1,(4.25..7.5],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,1,(395.5..+inf),(-inf..134.0],0
0,(32.71..43.23],(-inf..1.92],2,(-inf..4.25],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],1,2,(-inf..134.0],(-inf..134.0],0
1,(-inf..24.35],(5.42..10.71],2,(-inf..4.25],(-inf..2.75],(-inf..1.36],0,0,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],0
1,(43.23..+inf),(10.71..+inf),2,(-inf..4.25],(-inf..2.75],(-inf..1.36],1,1,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],0
1,(-inf..24.35],(1.92..5.42],2,(7.5..10.75],(4.5..7.25],(-inf..1.36],0,1,(-inf..5.5],1,2,(134.0..240.0],(564.5..2003.5],0
1,(32.71..43.23],(-inf..1.92],2,(7.5..10.75],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,3,(134.0..240.0],(-inf..134.0],1
0,(24.35..32.71],(10.71..+inf),2,(10.75..+inf),(7.25..+inf),(3.06..6.56],1,1,(-inf..5.5],0,2,(-inf..134.0],(2003.5..+inf),1
0,(-inf..24.35],(10.71..+inf),1,(10.75..+inf),(2.75..4.5],(1.36..3.06],1,0,(-inf..5.5],1,2,(240.0..395.5],(-inf..134.0],0
1,(43.23..+inf),(10.71..+inf),2,(-inf..4.25],(4.5..7.25],(6.56..+inf),1,1,(16.5..+inf),1,2,(-inf..134.0],(-inf..134.0],1
1,(-inf..24.35],(5.42..10.71],2,(4.25..7.5],(2.75..4.5],(-inf..1.36],0,0,(-inf..5.5],0,2,(-inf..134.0],(134.0..564.5],0
1,(32.71..43.23],(5.42..10.71],2,(4.25..7.5],(2.75..4.5],(-inf..1.36],1,1,(-inf..5.5],1,2,(-inf..134.0],(564.5..2003.5],1
0,(43.23..+inf),(10.71..+inf),2,(-inf..4.25],(4.5..7.25],(3.06..6.56],1,1,(5.5..11.0],1,2,(-inf..134.0],(-inf..134.0],1
1,(-inf..24.35],(10.71..+inf),1,(4.25..7.5],(2.75..4.5],(1.36..3.06],0,0,(-inf..5.5],1,2,(-inf..134.0],(2003.5..+inf),0
1,(24.35..32.71],(5.42..10.71],2,(7.5..10.75],(2.75..4.5],(-inf..1.36],1,1,(-inf..5.5],0,2,(-inf..134.0],(-inf..134.0],1
