A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,target
1,(36.45..47.47],(-inf..1.41],1,(3.6..6.2],(3.8..5.4],(-inf..1.05],1,1,(-inf..4.4],0,2,(110.0..200.0],(872.0..2317.8],1
1,(36.45..47.47],(1.41..3.92],2,(6.2..8.8],(3.8..5.4],(1.05..2.31],1,1,(-inf..4.4],1,2,(-inf..110.0],(-inf..99.8],1
0,(22.56..29.47],(1.41..3.92],2,(8.8..11.4],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],1,2,(110.0..200.0],(-inf..99.8],0
0,(22.56..29.47],(1.41..3.92],2,(8.8..11.4],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],1,2,(110.0..200.0],(-inf..99.8],0
1,(29.47..36.45],(3.92..7.6],2,(8.8..11.4],(3.8..5.4],(4.32..7.82],1,1,(-inf..4.4],1,2,(303.0..422.0],(-inf..99.8],1
0,(-inf..22.56],(-inf..1.41],1,(3.6..6.2],(3.8..5.4],(-inf..1.05],1,0,(-inf..4.4],1,2,(110.0..200.0],(-inf..99.8],0
1,(47.47..+inf),(1.41..3.92],2,(-inf..3.6],(3.8..5.4],(2.31..4.32],0,0,(-inf..4.4],1,2,(-inf..110.0],(320.0..872.0],0
0,(-inf..22.56],(-inf..1.41],2,(8.8..11.4],(3.8..5.4],(-inf..1.05],0,1,(-inf..4.4],0,2,(200.0..303.0],(320.0..872.0],1
1,(22.56..29.47],(1.41..3.92],1,(6.2..8.8],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(110.0..200.0],(872.0..2317.8],0
1,(36.45..47.47],(-inf..1.41],2,(8.8..11.4],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(110.0..200.0],(-inf..99.8],0
1,(29.47..36.45],(-inf..1.41],1,(6.2..8.8],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(-inf..110.0],(-inf..99.8],0
1,(29.47..36.45],(-inf..1.41],1,(6.2..8.8],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(110.0..200.0],(99.8..320.0],0
1,(36.45..47.47],(3.92..7.6],2,(6.2..8.8],(3.8..5.4],(4.32..7.82],1,1,(13.2..18.2],0,2,(110.0..200.0],(872.0..2317.8],1
1,(22.56..29.47],(1.41..3.92],2,(6.2..8.8],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],1,2,(110.0..200.0],(-inf..99.8],0
1,(47.47..+inf),(11.68..+inf),2,(-inf..3.6],(-inf..2.4],(7.82..+inf),1,1,(13.2..18.2],1,2,(-inf..110.0],(872.0..2317.8],1
1,(36.45..47.47],(-inf..1.41],1,(6.2..8.8],(3.8..5.4],(1.05..2.31],0,0,(-inf..4.4],1,2,(200.0..303.0],(99.8..320.0],1
0,(-inf..22.56],(1.41..3.92],1,(3.6..6.2],(2.4..3.8],(-inf..1.05],0,0,(-inf..4.4],0,2,(110.0..200.0],(-inf..99.8],0
0,(29.47..36.45],(-inf..1.41],2,(11.4..+inf),(3.8..5.4],(-inf..1.05],1,0,(-inf..4.4],0,2,(422.0..+inf),(2317.8..+inf),1
1,(22.56..29.47],(-inf..1.41],2,(3.6..6.2],(3.8..5.4],(-inf..1.05],1,0,(-inf..4.4],1,2,(110.0..200.0],(-inf..99.8],0
1,(36.45..47.47],(1.41..3.92],2,(11.4..+inf),(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],1,2,(-inf..110.0],(320.0..872.0],0
1,(29.47..36.45],(11.68..+inf),1,(-inf..3.6],(-inf..2.4],(-inf..1.05],0,1,(-inf..4.4],0,2,(110.0..200.0],(-inf..99.8],0
0,(-inf..22.56],(3.92..7.6],2,(8.8..11.4],(3.8..5.4],(2.31..4.32],1,1,(4.4..8.8],0,2,(110.0..200.0],(2317.8..+inf),1
0,(-inf..22.56],(3.92..7.6],2,(8.8..11.4],(3.8..5.4],(2.31..4.32],1,1,(4.4..8.8],0,2,(110.0..200.0],(2317.8..+inf),1
0,(47.47..+inf),(1.41..3.92],2,(3.6..6.2],(2.4..3.8],(-inf..1.05],1,0,(-inf..4.4],1,2,(-inf..110.0],(-inf..99.8],0
1,(47.47..+inf),(7.6..11.68],2,(8.8..11.4],(7.6..+inf),(7.82..+inf),1,1,(8.8..13.2],0,2,(-inf..110.0],(320.0..872.0],1
1,(29.47..36.45],(-inf..1.41],1,(6.2..8.8],(7.6..+inf),(2.31..4.32],1,1,(-inf..4.4],1,2,(422.0..+inf),(2317.8..+inf),1
1,(36.45..47.47],(1.41..3.92],2,(-inf..3.6],(3.8..5.4],(-inf..1.05],1,0,(-inf..4.4],0,2,(-inf..110.0],(99.8..320.0],0
1,(29.47..36.45],(1.41..3.92],2,(11.4..+inf),(7.6..+inf),(2.31..4.32],1,0,(-inf..4.4],1,2,(422.0..+inf),(-inf..99.8],0
0,(-inf..22.56],(7.6..11.68],2,(-inf..3.6],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(-inf..110.0],(-inf..99.8],0
0,(-inf..22.56],(-inf..1.41],2,(-inf..3.6],(3.8..5.4],(-inf..1.05],0,1,(4.4..8.8],1,2,(200.0..303.0],(-inf..99.8],0
0,(-inf..22.56],(-inf..1.41],2,(8.8..11.4],(3.8..5.4],(1.05..2.31],1,1,(-inf..4.4],0,2,(-inf..110.0],(-inf..99.8],1
1,(-inf..22.56],(3.92..7.6],2,(6.2..8.8],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(-inf..110.0],(-inf..99.8],0
1,(29.47..36.45],(1.41..3.92],2,(6.2..8.8],(3.8..5.4],(1.05..2.31],0,0,(-inf..4.4],1,2,(200.0..303.0],(-inf..99.8],0
1,(29.47..36.45],(1.41..3.92],2,(8.8..11.4],(7.6..+inf),(-inf..1.05],1,1,(-inf..4.4],0,2,(200.0..303.0],(99.8..320.0],1
1,(22.56..29.47],(-inf..1.41],2,(3.6..6.2],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(110.0..200.0],(-inf..99.8],0
1,(-inf..22.56],(7.6..11.68],2,(8.8..11.4],(3.8..5.4],(1.05..2.31],1,1,(-inf..4.4],0,2,(-inf..110.0],(99.8..320.0],1
0,(36.45..47.47],(3.92..7.6],2,(8.8..11.4],(3.8..5.4],(-inf..1.05],1,0,(-inf..4.4],1,2,(200.0..303.0],(-inf..99.8],1
1,(36.45..47.47],(1.41..3.92],2,(3.6..6.2],(3.8..5.4],(-inf..1.05],1,0,(-inf..4.4],0,2,(110.0..200.0],(-inf..99.8],0
1,(29.47..36.45],(1.41..3.92],2,(11.4..+inf),(3.8..5.4],(1.05..2.31],1,1,(-inf..4.4],1,2,(422.0..+inf),(2317.8..+inf),1
1,(29.47..36.45],(3.92..7.6],2,(8.8..11.4],(3.8..5.4],(1.05..2.31],1,0,(-inf..4.4],1,1,(303.0..422.0],(-inf..99.8],0
1,(47.47..+inf),(-inf..1.41],2,(11.4..+inf),(7.6..+inf),(-inf..1.05],1,0,(-inf..4.4],0,2,(-inf..110.0],(2317.8..+inf),1
1,(29.47..36.45],(-inf..1.41],2,(3.6..6.2],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(303.0..422.0],(872.0..2317.8],0
0,(22.56..29.47],(-inf..1.41],2,(-inf..3.6],(-inf..2.4],(-inf..1.05],1,0,(-inf..4.4],0,2,(-inf..110.0],(-inf..99.8],0
0,(29.47..36.45],(-inf..1.41],2,(8.8..11.4],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],1,2,(200.0..303.0],(-inf..99.8],0
1,(29.47..36.45],(1.41..3.92],1,(3.6..6.2],(-inf..2.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(110.0..200.0],(-inf..99.8],0
1,(22.56..29.47],(1.41..3.92],2,(8.8..11.4],(3.8..5.4],(1.05..2.31],1,1,(8.8..13.2],1,2,(422.0..+inf),(-inf..99.8],1
1,(29.47..36.45],(1.41..3.92],2,(-inf..3.6],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],1,2,(110.0..200.0],(-inf..99.8],0
1,(47.47..+inf),(11.68..+inf),2,(8.8..11.4],(7.6..+inf),(7.82..+inf),1,1,(-inf..4.4],1,2,(-inf..110.0],(99.8..320.0],1
1,(29.47..36.45],(-inf..1.41],1,(-inf..3.6],(3.8..5.4],(-inf..1.05],1,1,(8.8..13.2],1,2,(110.0..200.0],(-inf..99.8],0
1,(-inf..22.56],(-inf..1.41],1,(6.2..8.8],(7.6..+inf),(-inf..1.05],0,0,(-inf..4.4],0,2,(200.0..303.0],(99.8..320.0],0
1,(-inf..22.56],(-inf..1.41],1,(6.2..8.8],(7.6..+inf),(-inf..1.05],0,0,(-inf..4.4],0,2,(200.0..303.0],(99.8..320.0],0
1,(47.47..+inf),(7.6..11.68],2,(-inf..3.6],(-inf..2.4],(7.82..+inf),1,1,(8.8..13.2],1,2,(-inf..110.0],(99.8..320.0],1
0,(36.45..47.47],(1.41..3.92],2,(3.6..6.2],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(-inf..110.0],(320.0..872.0],0
1,(36.45..47.47],(-inf..1.41],2,(-inf..3.6],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(110.0..200.0],(-inf..99.8],0
0,(22.56..29.47],(1.41..3.92],2,(8.8..11.4],(7.6..+inf),(1.05..2.31],1,1,(4.4..8.8],1,2,(110.0..200.0],(2317.8..+inf),1
0,(-inf..22.56],(-inf..1.41],2,(6.2..8.8],(3.8..5.4],(1.05..2.31],0,1,(-inf..4.4],1,2,(-inf..110.0],(-inf..99.8],0
0,(29.47..36.45],(7.6..11.68],2,(8.8..11.4],(7.6..+inf),(-inf..1.05],0,1,(8.8..13.2],1,2,(110.0..200.0],(-inf..99.8],0
1,(22.56..29.47],(1.41..3.92],1,(3.6..6.2],(3.8..5.4],(-inf..1.05],0,1,(-inf..4.4],1,2,(200.0..303.0],(-inf..99.8],0
0,(-inf..22.56],(-inf..1.41],2,(6.2..8.8],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(-inf..110.0],(-inf..99.8],0
1,(29.47..36.45],(1.41..3.92],1,(11.4..+inf),(7.6..+inf),(-inf..1.05],0,0,(-inf..4.4],0,2,(110.0..200.0],(-inf..99.8],0
1,(36.45..47.47],(1.41..3.92],2,(6.2..8.8],(3.8..5.4],(2.31..4.32],1,0,(-inf..4.4],1,2,(110.0..200.0],(-inf..99.8],0
1,(22.56..29.47],(1.41..3.92],2,(11.4..+inf),(3.8..5.4],(1.05..2.31],1,1,(-inf..4.4],1,2,(303.0..422.0],(-inf..99.8],1
1,(29.47..36.45],(3.92..7.6],2,(8.8..11.4],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],1,2,(200.0..303.0],(-inf..99.8],1
1,(36.45..47.47],(1.41..3.92],2,(8.8..11.4],(3.8..5.4],(2.31..4.32],1,1,(13.2..18.2],0,2,(303.0..422.0],(872.0..2317.8],1
1,(29.47..36.45],(11.68..+inf),2,(11.4..+inf),(5.4..7.6],(4.32..7.82],1,1,(8.8..13.2],1,2,(-inf..110.0],(99.8..320.0],1
0,(22.56..29.47],(-inf..1.41],2,(-inf..3.6],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(110.0..200.0],(-inf..99.8],0
0,(-inf..22.56],(7.6..11.68],2,(3.6..6.2],(3.8..5.4],(1.05..2.31],0,1,(8.8..13.2],1,2,(-inf..110.0],(-inf..99.8],0
1,(29.47..36.45],(7.6..11.68],2,(11.4..+inf),(3.8..5.4],(4.32..7.82],1,0,(-inf..4.4],0,2,(-inf..110.0],(-inf..99.8],1
1,(29.47..36.45],(-inf..1.41],1,(8.8..11.4],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],1,2,(303.0..422.0],(-inf..99.8],0
1,(-inf..22.56],(7.6..11.68],2,(6.2..8.8],(3.8..5.4],(-inf..1.05],1,0,(-inf..4.4],0,2,(110.0..200.0],(-inf..99.8],0
0,(22.56..29.47],(11.68..+inf),1,(-inf..3.6],(-inf..2.4],(1.05..2.31],0,1,(-inf..4.4],1,2,(110.0..200.0],(-inf..99.8],0
0,(47.47..+inf),(3.92..7.6],2,(8.8..11.4],(7.6..+inf),(2.31..4.32],1,1,(4.4..8.8],0,2,(-inf..110.0],(320.0..872.0],1
0,(22.56..29.47],(-inf..1.41],2,(6.2..8.8],(3.8..5.4],(2.31..4.32],1,1,(4.4..8.8],1,2,(200.0..303.0],(872.0..2317.8],1
1,(22.56..29.47],(11.68..+inf),2,(3.6..6.2],(3.8..5.4],(1.05..2.31],1,1,(-inf..4.4],1,2,(110.0..200.0],(-inf..99.8],0
1,(29.47..36.45],(-inf..1.41],2,(6.2..8.8],(3.8..5.4],(1.05..2.31],0,0,(-inf..4.4],0,1,(-inf..110.0],(-inf..99.8],0
1,(22.56..29.47],(-inf..1.41],2,(6.2..8.8],(3.8..5.4],(-inf..1.05],0,1,(-inf..4.4],0,2,(200.0..303.0],(872.0..2317.8],0
1,(22.56..29.47],(1.41..3.92],1,(8.8..11.4],(3.8..5.4],(2.31..4.32],1,1,(4.4..8.8],0,2,(-inf..110.0],(-inf..99.8],1
0,(22.56..29.47],(-inf..1.41],2,(6.2..8.8],(7.6..+inf),(-inf..1.05],0,1,(-inf..4.4],1,2,(200.0..303.0],(99.8..320.0],0
0,(47.47..+inf),(-inf..1.41],2,(6.2..8.8],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,3,(110.0..200.0],(-inf..99.8],1
1,(22.56..29.47],(-inf..1.41],2,(6.2..8.8],(3.8..5.4],(1.05..2.31],1,1,(4.4..8.8],1,2,(303.0..422.0],(-inf..99.8],1
1,(29.47..36.45],(7.6..11.68],2,(6.2..8.8],(3.8..5.4],(4.32..7.82],1,1,(8.8..13.2],1,2,(-inf..110.0],(99.8..320.0],1
0,(36.45..47.47],(-inf..1.41],2,(8.8..11.4],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],1,2,(200.0..303.0],(-inf..99.8],0
0,(29.47..36.45],(1.41..3.92],2,(8.8..11.4],(3.8..5.4],(1.05..2.31],1,1,(13.2..18.2],0,2,(110.0..200.0],(872.0..2317.8],1
0,(47.47..+inf),(-inf..1.41],1,(-inf..3.6],(-inf..2.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(-inf..110.0],(-inf..99.8],0
0,(36.45..47.47],(3.92..7.6],2,(8.8..11.4],(3.8..5.4],(4.32..7.82],1,0,(-inf..4.4],1,2,(-inf..110.0],(2317.8..+inf),1
1,(22.56..29.47],(11.68..+inf),2,(6.2..8.8],(3.8..5.4],(-inf..1.05],0,1,(-inf..4.4],0,2,(-inf..110.0],(2317.8..+inf),0
1,(22.56..29.47],(-inf..1.41],1,(3.6..6.2],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(200.0..303.0],(872.0..2317.8],0
1,(47.47..+inf),(7.6..11.68],2,(-inf..3.6],(-inf..2.4],(4.32..7.82],1,1,(4.4..8.8],0,2,(-inf..110.0],(2317.8..+inf),1
1,(36.45..47.47],(-inf..1.41],2,(-inf..3.6],(-inf..2.4],(-inf..1.05],1,0,(-inf..4.4],0,2,(110.0..200.0],(-inf..99.8],0
1,(-inf..22.56],(7.6..11.68],2,(11.4..+inf),(3.8..5.4],(-inf..1.05],1,1,(4.4..8.8],0,2,(110.0..200.0],(-inf..99.8],1
1,(-inf..22.56],(7.6..11.68],2,(6.2..8.8],(3.8..5.4],(-inf..1.05],0,1,(-inf..4.4],1,2,(110.0..200.0],(-inf..99.8],0
1,(29.47..36.45],(1.41..3.92],2,(3.6..6.2],(3.8..5.4],(4.32..7.82],1,1,(4.4..8.8],0,2,(110.0..200.0],(872.0..2317.8],1
1,(22.56..29.47],(-inf..1.41],2,(8.8..11.4],(3.8..5.4],(4.32..7.82],1,1,(-inf..4.4],1,2,(422.0..+inf),(872.0..2317.8],1
1,(29.47..36.45],(1.41..3.92],1,(6.2..8.8],(7.6..+inf),(1.05..2.31],1,1,(-inf..4.4],1,2,(110.0..200.0],(2317.8..+inf),1
1,(-inf..22.56],(-inf..1.41],1,(11.4..+inf),(5.4..7.6],(-inf..1.05],0,0,(-inf..4.4],1,2,(110.0..200.0],(-inf..99.8],0
1,(-inf..22.56],(-inf..1.41],2,(6.2..8.8],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(-inf..110.0],(-inf..99.8],1
1,(47.47..+inf),(7.6..11.68],2,(6.2..8.8],(7.6..+inf),(7.82..+inf),1,1,(8.8..13.2],0,2,(110.0..200.0],(872.0..2317.8],1
0,(22.56..29.47],(7.6..11.68],2,(11.4..+inf),(3.8..5.4],(-inf..1.05],1,0,(-inf..4.4],0,2,(-inf..110.0],(872.0..2317.8],1
0,(-inf..22.56],(7.6..11.68],1,(8.8..11.4],(7.6..+inf),(-inf..1.05],0,0,(-inf..4.4],0,2,(303.0..422.0],(-inf..99.8],0
0,(36.45..47.47],(3.92..7.6],2,(6.2..8.8],(3.8..5.4],(2.31..4.32],0,0,(-inf..4.4],0,2,(422.0..+inf),(-inf..99.8],0
0,(29.47..36.45],(1.41..3.92],1,(8.8..11.4],(7.6..+inf),(1.05..2.31],0,0,(-inf..4.4],0,2,(200.0..303.0],(-inf..99.8],0
1,(22.56..29.47],(11.68..+inf),2,(3.6..6.2],(3.8..5.4],(4.32..7.82],1,1,(4.4..8.8],1,2,(110.0..200.0],(-inf..99.8],1
0,(29.47..36.45],(1.41..3.92],2,(-inf..3.6],(3.8..5.4],(2.31..4.32],1,0,(-inf..4.4],1,2,(200.0..303.0],(-inf..99.8],0
1,(-inf..22.56],(3.92..7.6],2,(3.6..6.2],(3.8..5.4],(1.05..2.31],1,1,(-inf..4.4],0,2,(-inf..110.0],(2317.8..+inf),1
1,(22.56..29.47],(7.6..11.68],2,(6.2..8.8],(3.8..5.4],(2.31..4.32],1,1,(13.2..18.2],0,2,(110.0..200.0],(872.0..2317.8],1
0,(-inf..22.56],(-inf..1.41],3,(11.4..+inf),(-inf..2.4],(7.82..+inf),0,0,(-inf..4.4],1,1,(200.0..303.0],(-inf..99.8],1
1,(22.56..29.47],(11.68..+inf),2,(-inf..3.6],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],1,2,(110.0..200.0],(-inf..99.8],0
0,(-inf..22.56],(7.6..11.68],2,(3.6..6.2],(7.6..+inf),(-inf..1.05],0,0,(-inf..4.4],0,2,(303.0..422.0],(-inf..99.8],0
0,(22.56..29.47],(-inf..1.41],2,(8.8..11.4],(3.8..5.4],(1.05..2.31],1,1,(-inf..4.4],0,2,(110.0..200.0],(-inf..99.8],0
1,(36.45..47.47],(-inf..1.41],2,(6.2..8.8],(7.6..+inf),(-inf..1.05],1,1,(4.4..8.8],0,2,(200.0..303.0],(872.0..2317.8],1
1,(-inf..22.56],(3.92..7.6],1,(-inf..3.6],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],1,2,(303.0..422.0],(872.0..2317.8],0
1,(22.56..29.47],(11.68..+inf),2,(8.8..11.4],(7.6..+inf),(1.05..2.31],1,0,(-inf..4.4],1,2,(110.0..200.0],(-inf..99.8],1
0,(-inf..22.56],(3.92..7.6],1,(-inf..3.6],(-inf..2.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(-inf..110.0],(-inf..99.8],0
1,(22.56..29.47],(11.68..+inf),1,(3.6..6.2],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],1,2,(110.0..200.0],(320.0..872.0],0
1,(22.56..29.47],(-inf..1.41],2,(6.2..8.8],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,1,(-inf..110.0],(-inf..99.8],0
1,(47.47..+inf),(11.68..+inf),1,(6.2..8.8],(3.8..5.4],(7.82..+inf),1,1,(18.2..+inf),0,2,(-inf..110.0],(-inf..99.8],1
1,(22.56..29.47],(-inf..1.41],2,(11.4..+inf),(3.8..5.4],(1.05..2.31],0,0,(-inf..4.4],0,2,(-inf..110.0],(-inf..99.8],0
0,(22.56..29.47],(11.68..+inf),2,(11.4..+inf),(7.6..+inf),(2.31..4.32],1,1,(-inf..4.4],0,2,(110.0..200.0],(-inf..99.8],1
1,(22.56..29.47],(-inf..1.41],2,(6.2..8.8],(3.8..5.4],(-inf..1.05],1,0,(-inf..4.4],0,1,(200.0..303.0],(-inf..99.8],1
1,(-inf..22.56],(3.92..7.6],2,(3.6..6.2],(3.8..5.4],(-inf..1.05],1,0,(-inf..4.4],0,2,(-inf..110.0],(-inf..99.8],1
1,(36.45..47.47],(-inf..1.41],2,(11.4..+inf),(3.8..5.4],(2.31..4.32],1,0,(-inf..4.4],0,2,(422.0..+inf),(320.0..872.0],1
0,(22.56..29.47],(11.68..+inf),2,(8.8..11.4],(7.6..+inf),(1.05..2.31],0,0,(-inf..4.4],0,2,(200.0..303.0],(-inf..99.8],0
1,(-inf..22.56],(3.92..7.6],2,(8.8..11.4],(3.8..5.4],(-inf..1.05],1,1,(-inf..4.4],0,2,(-inf..110.0],(-inf..99.8],0
1,(29.47..36.45],(1.41..3.92],2,(6.2..8.8],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(200.0..303.0],(-inf..99.8],0
1,(47.47..+inf),(11.68..+inf),2,(8.8..11.4],(3.8..5.4],(1.05..2.31],1,1,(-inf..4.4],0,2,(110.0..200.0],(-inf..99.8],1
1,(36.45..47.47],(1.41..3.92],1,(6.2..8.8],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,1,(303.0..422.0],(-inf..99.8],0
1,(-inf..22.56],(-inf..1.41],1,(-inf..3.6],(-inf..2.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(-inf..110.0],(-inf..99.8],0
1,(-inf..22.56],(7.6..11.68],2,(-inf..3.6],(-inf..2.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(-inf..110.0],(-inf..99.8],0
1,(47.47..+inf),(11.68..+inf),2,(-inf..3.6],(-inf..2.4],(-inf..1.05],1,1,(-inf..4.4],0,2,(-inf..110.0],(-inf..99.8],0
1,(-inf..22.56],(-inf..1.41],2,(8.8..11.4],(5.4..7.6],(-inf..1.05],0,0,(-inf..4.4],0,2,(110.0..200.0],(-inf..99.8],1
1,(-inf..22.56],(1.41..3.92],2,(6.2..8.8],(5.4..7.6],(-inf..1.05],0,1,(-inf..4.4],1,2,(110.0..200.0],(320.0..872.0],0
1,(36.45..47.47],(-inf..1.41],2,(6.2..8.8],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,3,(110.0..200.0],(-inf..99.8],1
1,(47.47..+inf),(11.68..+inf),2,(-inf..3.6],(-inf..2.4],(-inf..1.05],1,0,(-inf..4.4],1,2,(-inf..110.0],(-inf..99.8],1
0,(22.56..29.47],(1.41..3.92],2,(11.4..+inf),(7.6..+inf),(-inf..1.05],1,0,(-inf..4.4],0,2,(303.0..422.0],(-inf..99.8],1
0,(22.56..29.47],(11.68..+inf),2,(8.8..11.4],(7.6..+inf),(4.32..7.82],1,1,(-inf..4.4],0,2,(-inf..110.0],(2317.8..+inf),1
0,(-inf..22.56],(7.6..11.68],1,(8.8..11.4],(3.8..5.4],(2.31..4.32],1,0,(-inf..4.4],1,2,(200.0..303.0],(-inf..99.8],0
1,(47.47..+inf),(11.68..+inf),2,(-inf..3.6],(3.8..5.4],(7.82..+inf),1,1,(13.2..18.2],1,2,(-inf..110.0],(-inf..99.8],1
1,(-inf..22.56],(7.6..11.68],2,(3.6..6.2],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(-inf..110.0],(320.0..872.0],0
1,(36.45..47.47],(3.92..7.6],2,(6.2..8.8],(3.8..5.4],(1.05..2.31],1,1,(4.4..8.8],1,2,(-inf..110.0],(872.0..2317.8],1
1,(-inf..22.56],(7.6..11.68],1,(6.2..8.8],(3.8..5.4],(1.05..2.31],0,0,(-inf..4.4],1,2,(-inf..110.0],(2317.8..+inf),0
1,(22.56..29.47],(3.92..7.6],2,(6.2..8.8],(3.8..5.4],(-inf..1.05],1,1,(-inf..4.4],0,2,(-inf..110.0],(-inf..99.8],1
1,(-inf..22.56],(-inf..1.41],2,(-inf..3.6],(-inf..2.4],(-inf..1.05],0,1,(-inf..4.4],0,2,(303.0..422.0],(320.0..872.0],0
1,(36.45..47.47],(1.41..3.92],2,(-inf..3.6],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,1,(200.0..303.0],(-inf..99.8],0
1,(22.56..29.47],(-inf..1.41],2,(6.2..8.8],(3.8..5.4],(-inf..1.05],1,0,(-inf..4.4],0,2,(303.0..422.0],(-inf..99.8],1
1,(22.56..29.47],(-inf..1.41],2,(3.6..6.2],(3.8..5.4],(-inf..1.05],0,1,(8.8..13.2],0,1,(-inf..110.0],(-inf..99.8],0
1,(47.47..+inf),(1.41..3.92],2,(6.2..8.8],(3.8..5.4],(2.31..4.32],0,0,(-inf..4.4],1,2,(303.0..422.0],(-inf..99.8],0
1,(29.47..36.45],(1.41..3.92],2,(-inf..3.6],(3.8..5.4],(-inf..1.05],0,0,(-inf..4.4],0,2,(110.0..200.0],(-inf..99.8],0
1,(36.45..47.47],(3.92..7.6],2,(6.2..8.8],(3.8..5.4],(4.32..7.82],1,0,(-inf..4.4],1,1,(200.0..303.0],(-inf..99.8],0
