Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,Target
37.00<Age<=48.00,Local-gov,Bachelors,Separated,Other,Unmarried,White,Female,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
37.00<Age<=48.00,Private,Bachelors,Married,Sales,Wife,White,Female,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
37.00<Age<=48.00,Private,Bachelors,Married,Sales,Wife,White,Female,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
Age>48.00,?,Dropout,Separated,?,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age>48.00,?,Dropout,Separated,?,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age>48.00,?,Dropout,Separated,?,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age>48.00,?,Dropout,Separated,?,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age>48.00,?,Dropout,Separated,?,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
37.00<Age<=48.00,Private,HighSchoolgrad,Married,Other,Husband,Black,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
37.00<Age<=48.00,Private,HighSchoolgrad,Married,Other,Husband,Black,Male,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
Age<=28.00,?,HighSchoolgrad,Married,?,Wife,White,Female,None,None,Hoursperweek<=40.00,United-States,Morethan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age>48.00,Local-gov,Masters,Married,Professional,Wife,Black,Female,None,High,Hoursperweek<=40.00,United-States,Morethan$50k
28.00<Age<=37.00,Local-gov,Bachelors,Married,Sales,Husband,Asian-Pac-Islander,Male,Low,None,Hoursperweek<=40.00,SE-Asia,Morethan$50k
28.00<Age<=37.00,Local-gov,Bachelors,Married,Sales,Husband,Asian-Pac-Islander,Male,Low,None,Hoursperweek<=40.00,SE-Asia,Morethan$50k
28.00<Age<=37.00,Local-gov,Bachelors,Married,Sales,Husband,Asian-Pac-Islander,Male,Low,None,Hoursperweek<=40.00,SE-Asia,Morethan$50k
28.00<Age<=37.00,Self-emp-not-inc,Associates,Married,Blue-Collar,Husband,White,Male,None,None,Hoursperweek>45.00,United-States,Lessthan$50k
28.00<Age<=37.00,Self-emp-not-inc,Associates,Married,Blue-Collar,Husband,White,Male,None,None,Hoursperweek>45.00,United-States,Lessthan$50k
Age>48.00,Private,HighSchoolgrad,Married,Sales,Husband,White,Male,None,None,Hoursperweek>45.00,United-States,Morethan$50k
Age>48.00,Private,HighSchoolgrad,Married,Sales,Husband,White,Male,None,None,Hoursperweek>45.00,United-States,Morethan$50k
Age>48.00,Private,HighSchoolgrad,Married,Sales,Husband,White,Male,None,None,Hoursperweek>45.00,United-States,Morethan$50k
Age>48.00,Private,HighSchoolgrad,Married,Sales,Husband,White,Male,None,None,Hoursperweek>45.00,United-States,Morethan$50k
Age>48.00,Private,HighSchoolgrad,Married,Sales,Husband,White,Male,None,None,Hoursperweek>45.00,United-States,Morethan$50k
Age>48.00,Private,HighSchoolgrad,Married,Sales,Husband,White,Male,None,None,Hoursperweek>45.00,United-States,Morethan$50k
Age>48.00,Private,HighSchoolgrad,Married,Sales,Husband,White,Male,None,None,Hoursperweek>45.00,United-States,Morethan$50k
Age>48.00,Private,HighSchoolgrad,Married,Sales,Husband,White,Male,None,None,Hoursperweek>45.00,United-States,Morethan$50k
Age>48.00,Private,HighSchoolgrad,Married,Sales,Husband,White,Male,None,None,Hoursperweek>45.00,United-States,Morethan$50k
Age>48.00,Private,HighSchoolgrad,Married,Sales,Husband,White,Male,None,None,Hoursperweek>45.00,United-States,Morethan$50k
Age>48.00,Private,HighSchoolgrad,Married,Sales,Husband,White,Male,None,None,Hoursperweek>45.00,United-States,Morethan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Service,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Service,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Service,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Service,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Service,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Service,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Service,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Service,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Service,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Service,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Service,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Service,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Service,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Service,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Service,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Service,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
Age<=28.00,Private,HighSchoolgrad,Never-Married,Service,Own-child,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
